Nom de l’agence,Téléphone de l’agence,Email de l’agence,Horaires,Site web,Avis,Indépendant ou Franchise,Ville / département,Gérant,Tel du gérant,Email du gérant,Source de l’agence,Source du gérant,Date de vérification
AFF IMMOBILIER,+33 1 64 20 27 80,,Du lundi au vendredi : 9h30–12h30 et 14h30–19h00. Samedi et dimanche : non communiqué.,https://www.aff-immobilier.com/,"Avis publics positifs : les clients citent le professionnalisme, la disponibilité et l’accompagnement de Delphine et François Février. Source consultée : PagesJaunes / fiche locale AFF Immobilier à Coulommiers.",Indépendante,"3 Pl. du 27 Août, 77120 Coulommiers, France",FRANCOIS FEVRIER,,ffevrier@aff-immobilier.com,Site web/leboncoin,,2026-09-07
Agence 63 Immobilier Transactions Immobilières,+33 6 16 76 57 62,,,https://www.63immobilier.com/?utm_source=gmb,,Indépendante,"17 Rue des Prés Bas, 63000 Clermont-Ferrand, France",,,,Site web/leboncoin,,2026-09-07
Agence 74IMMO,+33 4 50 05 51 85,,,http://www.74immo.com/contact.php,,Indépendante,"4 Rue de la Paix, 74000 Annecy, France",,,,Site web/leboncoin,,2026-09-07
Agence Act'Immobilier Service,+33 4 90 50 09 09,,,http://www.actimmoservices.com/,,Indépendante,"1 Av. Jean Moulin, 13140 Miramas, France",,,,Site web/leboncoin,,2026-09-07
Agence Adi Immobilier,+33 5 49 05 78 55,,,http://www.agenceadi.com/?utm_source=gmb,,Indépendante,"30 Av. Gambetta, 79400 Saint-Maixent-l'École, France",,,,Site web/leboncoin,,2026-09-07
Agence Alp'Immo,+33 6 51 31 22 55,,,https://alp-immobilier.com/,,Indépendante,"3 Rue Aristide Briand, 84110 Vaison-la-Romaine, France",,,,Site web/leboncoin,,2026-09-07
Agence Alsace-Lorraine,+33 4 76 87 09 16,,,http://www.agencealsace-lorraine.com/,,Indépendante,"39 Av. Alsace Lorraine, 38000 Grenoble, France",,,,Site web/leboncoin,,2026-09-07
Agence Anatole Immobilier NANCY et ses alentours,+33 3 83 90 35 00,,,http://www.anatole-immo.com/,,Indépendante,"32 Av. Anatole France, 54000 Nancy, France",,,,Site web/leboncoin,,2026-09-07
Agence Arago,+33 1 53 10 25 50,,,http://www.arago.immoscope.fr/,,Indépendante,"112 Bd Arago, 75014 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence Arcade Immobilier,+33 5 46 27 17 10,,Lundi au Vendredi de 9h00 à 12h00 et de 14h00 à 18h00 et le samedi sur rendez-vous.,http://www.arcade-immo.com/,"Disponibilité et réactivité : Les clients soulignent la grande flexibilité des agents immobiliers pour les visites et leur réactivité face aux questions administratives complexes.Qualité de l'accompagnement : Plusieurs avis de l'agence du Havre mentionnent la capacité de M. Planès à rassurer les acheteurs (notamment lors d'un premier achat) et à assurer un excellent suivi jusqu'à la signature chez le notaire.Connaissance du secteur : M. Castaigne et son équipe à Montivilliers sont salués pour leur parfaite maîtrise du marché local (Le Havre, Montivilliers, Fontaine-la-Mallet), permettant de cibler rapidement les bons profils d'acquéreurs.Qualité de la relation humaine : Les retours font fréquemment mention d'une équipe ""humaine"", ""courtoise"" et ""impartiale"", qui ne privilégie ni le vendeur ni l'acheteur afin de trouver le juste compromis.",Indépendante,"47 Rue Gambetta, 17000 La Rochelle, France",Sylvain CASTAIGNE,,montivilliers@arcadeimmobilier.fr,Site web/leboncoin,,2026-09-07
Agence ARRIO,+33 1 39 75 80 02,,,http://www.agencearrioimmobilier.com/,,Indépendante,"87 Pl. de l'Église, 78670 Villennes-sur-Seine, France",,,,Site web/leboncoin,,2026-09-07
Agence balsane,+33 2 79 49 02 44,,,https://www.balsane.fr/,,Indépendante,"5 Rue Léon Salva, 76300 Sotteville-lès-Rouen, France",,,,Site web/leboncoin,,2026-09-07
Agence Bat's,+33 4 77 50 42 46,,,http://www.agencebats.fr/,,Indépendante,"2 Rue Victor Hugo, 42230 Roche-la-Molière, France",,,,Site web/leboncoin,,2026-09-07
Agence BEGIP,+33 5 55 33 97 50,,,http://www.begip.fr/,,Indépendante,"22 Av. Georges Dumas, 87000 Limoges, France",,,,Site web/leboncoin,,2026-09-07
"AGENCE BERTRAND IMMOBILIER - SERVICES : TRANSACTION GESTION, LOCATIONS SAISONNIÈRES ET À L'ANNÉE.",+33 4 67 42 81 80,,,http://www.bertrandimmobilier.fr/?utm_source=gmb&utm_medium=organic&utm_content=agence,,Indépendante,"2 Rue Pierre de Provence, 34250 Palavas-les-Flots, France",,,,Site web/leboncoin,,2026-09-07
Agence Blomet,+33 1 40 29 18 98,,,https://www.agenceblomet.fr/,,Indépendante,"40 Rue Blomet, 75015 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence Bordelaise,+33 5 56 81 79 60,,,https://www.agencebordelaise.com/,,Indépendante,"29 R. du Commandant Arnould, 33000 Bordeaux, France",,,,Site web/leboncoin,,2026-09-07
Agence Bourguignons Raspail,+33 1 47 85 85 21,,,http://agencebourguignons-raspail.com/,,Indépendante,"4 Rue Raspail, 92270 Bois-Colombes, France",,,,Site web/leboncoin,,2026-09-07
Agence Brahic,+33 4 91 46 17 87,,,https://agencebrahic.com/,,Indépendante,"736 Chem. du Littoral, 13016 Marseille, France",,,,Site web/leboncoin,,2026-09-07
Agence Brun Vincennes,+33 1 43 65 00 61,,,http://www.agence-brun.com/,,Indépendante,"4 Av. du Général de Gaulle, 94300 Vincennes, France",,,,Site web/leboncoin,,2026-09-07
AGENCE BSD SARL,+33 6 12 30 93 10,,,http://www.agencebsd.com/?utm_source=gmb,,Indépendante,"6 Rue de la Nuée-Bleue, 67000 Strasbourg, France",,,,Site web/leboncoin,,2026-09-07
Agence Calegari,+33 1 39 14 85 60,,,http://www.calegarimmo.com/?utm_source=gmb,,Indépendante,"1 Rue Gambetta, 78800 Houilles, France",,,,Site web/leboncoin,,2026-09-07
Agence CaP,+33 1 60 41 08 25,contact@agencecap.fr,"Du lundi au samedi : 
9H30 - 12H00
14H00 - 18H30",http://www.capimeaux.com/,"Accompagnement de A à Z : Les clients soulignent un suivi rigoureux, humain et rassurant tout au long des projets de vente ou d'acquisition. [1] (https://www.pagesjaunes.fr/pros/53798357), [2] (https://www.opinionsystem.fr/fr-fr/certificate/19105)Disponibilité et réactivité : Les interlocuteurs de l'agence se montrent extrêmement faciles à joindre et rapides pour répondre aux interrogations. [1] (https://www.opinionsystem.fr/fr-fr/certificate/19105)Professionnalisme et conseils avisés : Les estimations et les conseils stratégiques sont régulièrement décrits comme justes et parfaitement adaptés au marché local des Yvelines. [1] (https://www.opinionsystem.fr/fr-fr/certificate/19105)",Indépendante,"7 Rue de la Crèche, 77100 Meaux, France",FOUCAULT Benoît,,,Site web/leboncoin,,2026-09-07
Agence Caroline Immobilier,+33 2 51 30 32 70,,,https://www.caroline-immobilier.fr/,,Indépendante,"51 Rue du Perthuis Breton, 85360 La Tranche-sur-Mer, France",,,,Site web/leboncoin,,2026-09-07
Agence Centrale Immobilière de la Fouchardière,+33 5 49 88 00 93,,,https://agence-centrale.fr/contact/,,Indépendante,"44 Rue de la Marne, 86000 Poitiers, France",,,,Site web/leboncoin,,2026-09-07
Agence Chabrol Immobilier - Cires lès Mello,+33 3 44 56 62 41,,,https://www.chabrol-immobilier.com/,,Indépendante,"54 Rue de la ville, 60660 Cires-lès-Mello, France",,,,Site web/leboncoin,,2026-09-07
Agence Chanot Robquin,+33 1 60 25 16 16,,,http://www.chanotrobquin.com/,,Indépendante,"31 Bd Jean Rose, 77100 Meaux, France",,,,Site web/leboncoin,,2026-09-07
Agence Chatelet l'immo des 2 frères,+33 4 74 21 46 49,,,http://www.agence-chatelet.fr/,,Indépendante,"90 Av. du Mail, 01000 Bourg-en-Bresse, France",,,,Site web/leboncoin,,2026-09-07
Agence Clement Lepetit - Viroflay,+33 1 30 24 06 72,,,http://www.agenceclementlepetit.fr/,,Indépendante,"132 Av. du Général-Leclerc, 78220 Viroflay, France",,,,Site web/leboncoin,,2026-09-07
Agence COBERO Immobilier Agde,+33 4 67 90 69 50,,,https://coberoimmobilier.com/,,Indépendante,"5 Bd Jean Monnet, 34300 Agde, France",,,,Site web/leboncoin,,2026-09-07
AGENCE CORNE,+33 5 46 23 07 46,,,https://www.agence-corne.com/,,Indépendante,"20 Av. de Pontaillac, 17420 Saint-Palais-sur-Mer, France",,,,Site web/leboncoin,,2026-09-07
Agence Courbevoie - Comimob Immobilier,+33 1 47 89 06 06,,,https://www.comimob-immobilier.fr/,,Indépendante,"52 Rue de Bezons, 92400 Courbevoie, France",,,,Site web/leboncoin,,2026-09-07
Agence de Buzenval,+33 1 41 29 10 11,,,https://www.agencedebuzenval.fr/,,Indépendante,"Centre Iéna, 153 Rte de l'Empereur, 92500 Rueil-Malmaison, France",,,,Site web/leboncoin,,2026-09-07
Agence De L'Amphithéâtre,+33 3 87 16 49 05,,,https://www.amphitheatre-immobilier.com/,,Indépendante,"105 Av. André Malraux, 57000 Metz, France",,,,Site web/leboncoin,,2026-09-07
Agence de la Cadenelle,+33 4 91 71 74 74,,,http://www.agencedelacadenelle.com/,,Indépendante,"122 Rue du Commandant Rolland, 13008 Marseille, France",,,,Site web/leboncoin,,2026-09-07
Agence de la Plage,+33 5 59 20 02 05,,,http://www.agence-de-la-plage.fr/,,Indépendante,"89 Bd du Général Leclerc, 64700 Hendaye, France",,,,Site web/leboncoin,,2026-09-07
Agence de la Plage Calais,+33 3 21 82 32 62,,,https://www.agencedelaplage-calais.com/,,Indépendante,"56 Rue du Maréchal de Lattre de Tassigny, 62100 Calais, France",,,,Site web/leboncoin,,2026-09-07
Agence de Paron,+33 1 69 30 12 00,,,https://www.agencedeparon.com/,,Indépendante,"2 Rue de Paron, 91370 Verrières-le-Buisson, France",,,,Site web/leboncoin,,2026-09-07
Agence de Rêve,+33 1 48 46 06 03,,,http://www.agencedereve.fr/,,Indépendante,"21 Rue de la République, 93230 Romainville, France",,,,Site web/leboncoin,,2026-09-07
Agence de Saint Jean,+33 4 42 32 37 87,,,https://agencedesaintjean.com/,,Indépendante,"185 Av. de Saint-Jean, 13600 La Ciotat, France",,,,Site web/leboncoin,,2026-09-07
Agence Derivot Immobilier,+33 4 90 82 14 10,,,http://www.derivot.fr/,,Indépendante,"5 Rue Martin Luther King, 84000 Avignon, France",,,,Site web/leboncoin,,2026-09-07
AGENCE DES CLAYES,+33 1 34 62 32 05,,,https://www.agencedesclayes.fr/fr,,Indépendante,"1ter Rue Maurice Jouet, 78340 Les Clayes-sous-Bois, France",,,,Site web/leboncoin,,2026-09-07
Agence des Coudreaux,+33 1 43 32 31 54,,,http://www.agencedescoudreaux.com/,,Indépendante,"Angle de l'avenue des Sciences 77500 CHELLES, 42 Av. Arago, 93370 Montfermeil, France",,,,Site web/leboncoin,,2026-09-07
Agence Des Flots,+33 2 40 82 20 69,,,https://www.agencedesflots.com/,,Indépendante,"1 Rue de Verdun, 44210 Pornic, France",,,,Site web/leboncoin,,2026-09-07
AGENCE DES LYS IMMOBILIER - ADL IMMO,+33 1 47 09 80 90,,,http://www.adl.immo/,,Indépendante,"11 Rue de Saint-Cloud, 92410 Ville-d'Avray, France",,,,Site web/leboncoin,,2026-09-07
Agence Des Tilleuls,+33 5 46 05 39 97,,,https://www.agence-des-tilleuls.fr/,,Indépendante,"7 Bd Champlain, 17200 Royan, France",,,,Site web/leboncoin,,2026-09-07
Agence Desjardins,+33 2 32 51 74 00,,,http://www.agencedesjardins.fr/,,Indépendante,"15/17 Pl. Adolphe Barette, 27200 Vernon, France",,,,Site web/leboncoin,,2026-09-07
Agence DHAINE IMMOBILIER - DRANCY 93700 - Estimation gratuite - succession - vente,+33 1 48 32 31 66,,,http://www.dhaineimmobilier.com/,,Indépendante,"48 Av. Jean Jaurès, 93700 Drancy, France",,,,Site web/leboncoin,,2026-09-07
Agence Donibane Anglet - Le Busquet,+33 5 59 42 99 10,,,https://www.agence-donibane.com/,,Indépendante,"12 All. du Cadran, 64600 Anglet, France",,,,Site web/leboncoin,,2026-09-07
Agence DT Immobilier Eysines,+33 5 56 98 41 22,,,https://thibauddawid.wixsite.com/monsite2,,Indépendante,"82 bis Av. du Médoc, 33320 Eysines, France",,,,Site web/leboncoin,,2026-09-07
Agence du Centre Immobilier Rambouillet,+33 1 30 88 86 60,,,http://www.adcrambouillet.com/,,Indépendante,"56 Rue du Général de Gaulle, 78120 Rambouillet, France",,,,Site web/leboncoin,,2026-09-07
Agence du Lion,+33 2 37 55 02 50,,,http://www.agence-du-lion.fr/,,Indépendante,"81 Rue Saint-Thibault, 28100 Dreux, France",,,,Site web/leboncoin,,2026-09-07
Agence du Lys,+33 3 44 21 60 00,,,http://www.agencedulys.com/,,Indépendante,"197 bis Grande Avenue, 60260 Lamorlaye, France",,,,Site web/leboncoin,,2026-09-07
Agence du Palais - Agence Immobilière Le Havre,+33 2 35 42 23 64,,,https://www.agencedupalais.com/,,Indépendante,"15 Pl. de l'Hôtel de ville, 76600 Le Havre, France",,,,Site web/leboncoin,,2026-09-07
Agence du Port - Cabinet Salomon - Immobilier Gestion Nice,+33 4 93 26 08 95,,,http://www.agenceduportnice.fr/,,Indépendante,"16 Bd de Riquier, 06300 Nice, France",,,,Site web/leboncoin,,2026-09-07
Agence du soleil,+33 4 90 32 25 59,,,http://agencedusoleil.net/,,Indépendante,"42 Av. Gustave Goutarel, 84130 Le Pontet, France",,,,Site web/leboncoin,,2026-09-07
AGENCE DU SQUARE,+33 4 71 48 39 40,,,http://www.immo-square15.fr/,,Indépendante,"15 Av. de la République, 15000 Aurillac, France",,,,Site web/leboncoin,,2026-09-07
Agence Du Sud Aubagne,+33 4 42 84 47 21,,,http://www.agencedusud.fr/,,Indépendante,"69 Rue de la République, 13400 Aubagne, France",,,,Site web/leboncoin,,2026-09-07
Agence du Théâtre,+33 2 31 85 43 74,,,http://www.agence-du-theatre.com/,,Indépendante,"41 Rue des Jacobins, 14000 Caen, France",,,,Site web/leboncoin,,2026-09-07
Agence du Viaduc - Transaction Immobilière,+33 1 48 72 76 60,,,http://www.agenceduviaduc.com/,,Indépendante,"136 Av. du Général de Gaulle, 94170 Le Perreux-sur-Marne, France",,,,Site web/leboncoin,,2026-09-07
Agence Du Village,+33 1 39 90 49 77,,,https://www.agenceduvillage95.com/,,Indépendante,"54 Rue Pierre Brossolette, 95200 Sarcelles, France",,,,Site web/leboncoin,,2026-09-07
Agence Eclats Montévrain,+33 1 60 07 09 84,,,https://www.agence-eclats.com/,,Indépendante,"28 Rue Mauregard, 77144 Montévrain, France",,,,Site web/leboncoin,,2026-09-07
Agence Estia Immobilier Nancy,+33 6 63 79 66 76,,,https://www.immo-estia.fr/contact.html,,Indépendante,"38 Pl. de la Carrière, 54000 Nancy, France",,,,Site web/leboncoin,,2026-09-07
Agence ESTIMMO,+33 1 71 19 90 52,,,http://www.agence-estimmo.com/,,Indépendante,"49 Av. Jean Jaurès, 75019 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence Etoile Aix-en-Provence,+33 4 42 91 32 32,,,http://www.agence-etoile.com/,,Indépendante,"19-24 Rue des Cordeliers, 13100 Aix-en-Provence, France",,,,Site web/leboncoin,,2026-09-07
Agence Evora immobilier,+33 3 87 22 29 53,,,https://www.evoraimmobilier.fr/,,Indépendante,"2 Pl. Raymond Mondon, 57000 Metz, France",,,,Site web/leboncoin,,2026-09-07
Agence Fargue,+33 5 53 66 75 83,,,https://www.agencefargue.com/?utm_source=google_business&utm_medium=bouton_fiche_agence&utm_campaign=agence-fargue,,Indépendante,"16 Cr du 14 Juillet, 47000 Agen, France",,,,Site web/leboncoin,,2026-09-07
Agence Forest Hill,+33 6 45 26 57 84,,,https://www.agence-foresthill.fr/,,Indépendante,,,,,Site web/leboncoin,,2026-09-07
Agence FWF Invest - immobilier PARIS 17,+33 1 73 54 54 45,,,https://www.fwfinvest.com/,,Indépendante,"51 Rue Laugier, 75017 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence G I O,+33 4 94 62 44 55,,,https://www.immobilier-toulon-ouest.com/,,Indépendante,"61 Rue Jean Ayral, 83200 Toulon, France",,,,Site web/leboncoin,,2026-09-07
Agence Gauter J et Cie SA,+33 2 97 24 11 62,,,http://www.agence-gauter.com/,,Indépendante,"54 Pl. de la République, 56400 Auray, France",,,,Site web/leboncoin,,2026-09-07
Agence Générale de l'Immobilier,+33 5 56 66 30 50,,,http://www.immo-agi.com/,,Indépendante,"33 Cr de Verdun, 33470 Gujan-Mestras, France",,,,Site web/leboncoin,,2026-09-07
Agence Grand Paris,+33 1 82 30 22 60,,,http://www.immobilier-le-bourget-era.fr/,,Indépendante,"104 Av. de la Division Leclerc, 93350 Le Bourget, France",,,,Site web/leboncoin,,2026-09-07
AGENCE GROSSI,+33 4 94 70 06 66,,,https://agencegrossi.com/,,Indépendante,"4 Av. Pierre Gaudin, 83690 Salernes, France",,,,Site web/leboncoin,,2026-09-07
Agence Hamilton - Selection Habitat | Immobilier de caractère,+33 4 48 23 02 32,,,https://www.agence-hamilton.com/?utm_source=gmb,,Indépendante,"30 Rue Antoine Armagnac, 11000 Carcassonne, France",,,,Site web/leboncoin,,2026-09-07
Agence Hyacinthe Immobilier,+33 2 41 62 45 56,,,http://hyacinthe-immobilier.fr/,,Indépendante,"18 Av. Maudet, 49300 Cholet, France",,,,Site web/leboncoin,,2026-09-07
AGENCE ICI,+33 4 50 39 39 39,,,https://www.ici-74.com/fr,,Indépendante,"4 Pass. Jean Moulin, 74100 Annemasse, France",,,,Site web/leboncoin,,2026-09-07
Agence IMM,+33 2 54 70 16 94,,,http://www.imm-blois.com/,,Indépendante,"11 Rue Porte Côté, 41000 Blois, France",,,,Site web/leboncoin,,2026-09-07
Agence Immo d’Ecully,+33 9 72 15 83 53,,,https://agence-immobiliere-ecully.fr/,,Indépendante,"38 Av. Béranger, 69130 Écully, France",,,,Site web/leboncoin,,2026-09-07
Agence Immo Hello,+33 1 69 11 01 01,,,http://www.agence-hello.com/,,Indépendante,"4 Pl. du Plessis Saucourt, 91250 Tigery, France",,,,Site web/leboncoin,,2026-09-07
Agence Immo K - Poitiers,+33 5 49 41 52 16,,,https://www.agenceimmok.com/,,Indépendante,"10 Rue de l'Hôtel de ville, 86180 Buxerolles, France",,,,Site web/leboncoin,,2026-09-07
Agence Immo Light,+33 5 56 89 00 00,,,http://www.immobilier-gradignan.com/,,Indépendante,"193 Cr du Général de Gaulle, 33170 Gradignan, France",,,,Site web/leboncoin,,2026-09-07
